,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
17056,2O5nA2P316C0HP4j0MfpWx,ZABO,Blasphemy,Blasphemy,25,208000,False,0.779,0.629,6,-4.832,1,0.527,0.0944,0.34,0.113,0.285,90.014,4.0,club
33628,4yXNMbZrsFJbPTH0WfhwEB,Fall Out Boy,Save Rock And Roll,Young Volcanoes,58,204506,False,0.599,0.853,11,-3.878,0,0.0365,0.00123,0.000504,0.37,0.676,94.997,4.0,emo
21727,3QiO2NizblLpcuVtiT3DDY,Mr. Vegas,Reggae Mix USA [Mixed By Jabba],Heads High,29,195520,True,0.818,0.755,7,-5.326,1,0.309,0.53,0.0,0.276,0.702,96.871,4.0,dancehall
32743,5NL0SXbEMtWkAVmzjQV8s5,Alex Anwandter,Amiga,Cordillera,36,262533,False,0.721,0.679,1,-4.972,0,0.0294,0.00326,0.135,0.143,0.492,116.024,4.0,electronic
20716,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson;Bruno Mars,Uptown Special,Uptown Funk (feat. Bruno Mars),83,269666,True,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4.0,dance
19984,1JvF1A4iFynnOyvb8WKl6v,Jon Pardi,Write You A Song,Empty Beer Cans,40,209053,False,0.645,0.83,9,-4.39,1,0.0452,0.0192,0.0,0.18,0.471,99.965,4.0,country
6927,5cKTyp5RFPALN8SbmYDGEk,Avhath,Lethargy / March to the Crater,March to the Crater,17,167963,False,0.137,0.258,8,-6.12,1,0.0724,0.0024,0.744,0.106,0.349,139.75,4.0,black-metal
11551,4TuGt2O2iqrisOsNQNrL0j,Steven Price,Fury (Original Motion Picture Soundtrack),Emma,49,155826,False,0.407,0.433,2,-15.331,0,0.0376,0.467,0.936,0.0663,0.0779,119.921,4.0,british
27703,0heLGGv1IyGOgFobFrbUgv,Document One,LSD,LSD,50,252342,False,0.642,0.845,5,-4.736,0,0.0428,0.0155,0.284,0.736,0.0373,87.528,4.0,drum-and-bass
19790,5hwySzV76a0LyYExMoK5tq,BEIST;Stjørna Heimbrentslag,Kongen av campen,Kongen av campen,45,162013,False,0.65,0.844,2,-7.664,1,0.116,0.418,0.0,0.291,0.341,152.993,4.0,country
6190,4NgewKQuWI3C2vdt6rxFUI,Wolves In The Throne Room,Thrice Woven,Fires Roar in the Palace of the Moon,20,689693,False,0.112,0.944,7,-5.628,1,0.153,0.000139,0.817,0.0935,0.0342,151.694,4.0,black-metal
40089,4y52IOOi2eSnO7V98wFANC,Ministério Adoração e Vida,Hoje Livre Sou (Ao Vivo),O Céu Se Abre - Ao Vivo,48,310253,False,0.303,0.577,11,-5.02,1,0.0327,0.403,3.49e-06,0.54,0.356,143.653,3.0,gospel
34608,4tmLVGL1ibYRipc9E736Uf,Papon,Jajabori,Rode Rodaale Saa,35,223973,False,0.495,0.314,2,-13.306,1,0.0289,0.881,0.000102,0.0908,0.283,132.007,4.0,folk
15432,4vHoOPIlILceWMPGY5XEmJ,keshi,THE REAPER,the reaper,60,198978,False,0.501,0.501,0,-9.323,1,0.119,0.313,0.0,0.104,0.277,160.299,4.0,chill
19297,7yYcd2Fqa4E9sjOLPhnwpc,Kacey Musgraves;Willie Nelson,Christmas Country Songs 2022,A Willie Nice Christmas,0,203640,False,0.622,0.636,0,-7.397,1,0.0352,0.775,0.000161,0.136,0.759,151.2,4.0,country
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic
6869,0d1FzTuFoizLKk2ZZRRT0j,Winds of Plague,Resistance,Open the Gates,18,145226,False,0.451,0.754,9,-6.201,1,0.0541,0.0951,0.000163,0.0498,0.263,132.976,4.0,black-metal
30112,6h5PAsRni4IRlxWr6uDPTP,Axwell /\ Ingrosso,More Than You Know,More Than You Know,80,203000,False,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,4.0,edm
38299,5G58fsWcZc1d6NY89D5yiq,Joe Buck Yourself,Piss and Vinegar,Demon in My Head,32,194176,True,0.685,0.891,0,-7.9,1,0.0393,0.375,3.63e-06,0.391,0.627,120.668,4.0,garage
9400,5Twubz3SaJmTykgAn8t7IS,Mandragora,Galactic Symphony,Galactic Symphony,46,322387,False,0.539,0.794,0,-9.073,0,0.0546,0.0604,0.274,0.18,0.125,99.946,4.0,brazil
30708,5masKPHeAOVNgxdLebIcK7,Kygo;Parson James,Cloud Nine,Stole the Show,75,223186,False,0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034,4.0,edm
20261,7DnAm9FOTWE3cUvso43HhI,Ava Max,Heaven & Hell,Sweet but Psycho,81,187436,False,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,4.0,dance
37139,0GzrUg3QI5ljFHmyls1Uy2,Stevie Wonder,Christmas Faves 2022,Someday At Christmas,0,169293,False,0.325,0.536,5,-6.04,1,0.0323,0.614,0.0,0.251,0.218,101.483,4.0,funk
28800,2V26vjCy384SOkQgl0dpsA,Vincent;JT Roach,Marathon,Marathon,36,219230,False,0.398,0.347,4,-9.647,1,0.0351,0.595,0.00166,0.0858,0.344,129.891,4.0,dub
22018,3U9gogDStAfWxSm91PJuxb,Slayer,South Of Heaven,South Of Heaven,64,298533,True,0.31,0.991,5,-3.769,0,0.316,0.000132,0.085,0.0969,0.0395,140.071,4.0,death-metal
18409,2OKtKiJA1WtBjfcGdkTCZb,David Spade,My Fake Problems,Dirty Pics,22,248088,True,0.467,0.909,4,-7.066,1,0.934,0.796,0.0,0.465,0.333,85.964,4.0,comedy
5782,70CbcDczLupouV8PYWjk5Z,Otaku,Anime Lofi Vol. 1,Guren No Yumiya (Attack On Titan),53,96232,False,0.654,0.497,8,-15.684,0,0.117,0.302,0.932,0.0857,0.343,140.002,4.0,anime
21221,45s98gUcOcj5nJeFDNLH2g,Burna Boy;Polo G,Want It All (feat. Polo G),Want It All (feat. Polo G),62,232500,True,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,4.0,dancehall
21374,2lGcaj9uJ8ahQxbNvvEqHi,Flavour;Diamond Platnumz,Time to Party,Time to Party,52,212532,False,0.849,0.735,9,-4.546,1,0.0746,0.237,1.67e-05,0.0652,0.97,121.932,4.0,dancehall
